species,parameter,method,equation,a_coeff,b_coeff,c_coeff
both_species,aboveground_veg_biomass,convh_vol,log,684.4579051,0.774629958,-9.229401634
both_species,leaf_biomass,convh_vol,log,570.5846762,0.388689645,-4.798373701
both_species,shoot_biomass,voxel_vol_02,linear,961.3271546,-0.67496657,NA
tomato,aboveground_veg_biomass,convh_vol,linear,383.823976,-0.103080123,NA
tomato,leaf_biomass,convh_vol,linear,170.5170083,-3.693080019,NA
tomato,leaf_no,convh_vol,linear,1002.741851,-43.97873371,NA
tomato,shoot_biomass,convh_vol,linear,213.3069685,3.589999103,NA
tomato,shoot_no,convh_vol,linear,48.59046487,1.273804711,NA
watermelon,aboveground_veg_biomass,voxel_vol_02,linear,2057.013242,-6.588236778,NA
watermelon,leaf_biomass,voxel_vol_02,power,972.0237,0.879008879,-7.122123288
watermelon,leaf_no,convh_vol,log,457.2818372,3.893438855,-3.737697863
watermelon,shoot_biomass,voxel_vol_02,linear,946.7534533,-5.001189723,NA
watermelon,shoot_no,voxel_vol_005,linear,2321.624841,1.336327281,NA
