Record,Trial,Collection Date,Collection Level,Plants Per Plot,Overhead Image Number,Overhead Image Distance (ft),Profile Image Number,Profile Image Distance (ft),Box Folder Link,Notes
R1C4,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R1C7,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R2C7,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R2C4,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R3C4,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R3C7,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R4C4,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
R4C7,Pepper Variety Trial,6/22/2023,Plant,5,1,2.0,2,2.0,https://purdue.app.box.com/folder/216285077649,
Big Beef Transplant,Transplant-Age Plants,6/22/2023,Plant,NA,1,2.0,0,0.0,https://purdue.app.box.com/folder/216282754253,
Mambo,Transplant-Age Plants,6/22/2023,Plant,NA,1,2.0,0,0.0,https://purdue.app.box.com/folder/216282754253,
01,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
02,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
03,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
04,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
05,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
06,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
07,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
08,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
09,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
10,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
11,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
12,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
14,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
13,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
15,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
16,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
17,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
18,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
19,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
20,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
22,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
21,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
24,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
23,Garden Plots,6/24/2023,Plant,NA,1,3.0,2,3.0,https://app.box.com/s/5j70jhugl48pyzfatgp35jwxd8jummyl,
1017,Tomato Fertilizer Trial,6/25/2023,Plant,3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
1026,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
1033,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
1042,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
1051,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
1064,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
1075,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
2027,Tomato Fertilizer Trial,6/25/2023,Plant,3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
2016,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
2035,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
2043,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
2051,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
2062,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
